Name,Address,Latitude,Longitude
stasiun angke,Jakrta barat,-6.1444,106.8009
stasiun duri,Jakarta Barat,-6.1559,106.8013
stasiun tanah abang,jakarta pusat,-6.1857,106.811
stasiun palmerah,jakarta pusat,-6.20721,106.7976
stasiun kebayoran,jakarta selatan,-6.23725,106.78256
 stasiun Pondok Ranji , tanggerang selatan,-6.2765,106.745
 stasiun jurangmangu, Tanggerang selatan,-6.28857,106.72918
 stasiun Sudimara, tanggerang selatan,-6.2969,106.7127
 stasiun rawa buntu, tanggerang selatan,-6.31492,106.67614
Stasiun serpong,tanggerang selatan,-6.32013,106.66554
stasiun Cisauk,kabupaten Tangerang,-6.32445,106.64166
stasiun cicayur,kabupaten Tangerang,-6.3297,106.619
stasiun parungpanjang,parung panjang,-6.34432,106.56935
 stasiun cilejit, kabupaten Tangerang,-6.35433,106.50965
stasiun daru, kabupaten Tangerang,-6.33796,106.49251
 stasiun tenjo, singabangsa,-6.32728,106.46179
 stasiun tigaraksa, kabupaten Tangerang,-6.3286,106.4347
stasiun cikoya,kabupaten Tangerang,-6.33572,106.41147
 stasiun maja, Lebak,-6.33233,106.39613
 stasiun citeras,serang,-6.335,106.33267
stasiun rangkasbitung, lebak,-6.35266,106.25156
